,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,room_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
3282,20018,50.0,1,1.0,1.0,1.0,Real Bed,f,t,Apartment,Private room,strict,f,2,2,2,1,"Washington, D.C.",1.0,19,49,79,354
3283,20018,268.0,5,2.5,3.0,3.0,Real Bed,f,t,House,Entire home/apt,strict,f,1,1,1,1,Washington,1.6666666666666667,30,60,90,365
3284,20018,75.0,3,1.0,1.0,1.0,Real Bed,f,t,Loft,Entire home/apt,strict,f,1,1,43,1,Washington,3.0,0,0,0,194
3285,20018,500.0,10,4.0,4.0,7.0,Real Bed,f,f,House,Entire home/apt,moderate,f,1,1,0,2,Washington,1.4285714285714286,28,58,88,363
3286,20018,85.0,1,1.0,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,1,1,3,1,Washington,1.0,30,60,90,365
3287,20018,68.0,4,1.0,1.0,3.0,Real Bed,f,t,House,Private room,moderate,f,3,3,135,1,Washington,1.3333333333333333,0,0,0,167
3288,20018,250.0,5,2.0,3.0,3.0,Real Bed,f,f,House,Entire home/apt,flexible,f,1,1,0,3,Washington,1.6666666666666667,0,0,0,0
3289,20018,43.0,1,1.5,1.0,1.0,Real Bed,f,t,House,Private room,moderate,f,1,1,1,3,Washington,1.0,8,8,34,98
3290,20018,65.0,4,1.0,0.0,2.0,Real Bed,f,f,House,Entire home/apt,flexible,f,1,1,1,2,Washington,2.0,1,31,61,63
3291,20018,49.0,1,1.0,1.0,1.0,Real Bed,f,t,House,Private room,flexible,f,1,1,6,1,Washington,1.0,6,36,45,134
3292,20018,125.0,8,1.0,3.0,4.0,Real Bed,f,t,House,Entire home/apt,moderate,f,1,2,18,2,Washington,2.0,9,39,69,159
3293,20712,90.0,4,1.0,1.0,2.0,Real Bed,t,t,Apartment,Entire home/apt,moderate,f,1,1,46,1,Mount Rainier,2.0,0,7,16,283
3294,20018,90.0,3,2.5,2.0,2.0,Real Bed,f,t,House,Entire home/apt,moderate,f,1,1,0,3,Washington,1.5,0,0,0,82
3295,20018,50.0,1,1.0,1.0,1.0,Real Bed,f,t,House,Private room,strict,f,2,2,2,1,Washington,1.0,19,49,79,354
3296,20007,130.0,2,1.0,1.0,1.0,Pull-out Sofa,f,f,Apartment,Entire home/apt,moderate,t,2,2,0,1,Washington,2.0,0,0,0,89
3297,20007,104.0,1,1.0,1.0,1.0,Pull-out Sofa,f,f,Apartment,Shared room,moderate,f,2,2,2,1,Washington,1.0,30,60,90,365
3298,20016,155.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,strict,t,1,1,9,2,Washington,4.0,27,57,87,362
3299,20007,60.0,2,1.0,1.0,1.0,Futon,f,t,House,Shared room,flexible,f,1,1,5,1,Washington,2.0,1,31,61,61
